List Date,Company,Group,Sector,Sub Sector,Country of Incorporation,Market,Ord Shares,Dep Receipts,Fixed Int,Warrants, Mkt Cap £m ,International Main Market,FCA Listing Category
2-Aug-06,1PM PLC                            ,8775,General Financial,Specialty Finance,GB,AIM,YES,NO,NO,NO,24.6925619,N,
2-Feb-09,1SPATIAL PLC                       ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,43.903036395,N,
15-Apr-05,21ST CENTURY TECHNOLOGY PLC        ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,4.3123386688,N,
31-Jul-13,24/7 GAMING GROUP HLDGS PLC        ,5752,Travel & Leisure,Gambling,IM,AIM,YES,NO,NO,NO,0,N,
23-Sep-05,32RED                              ,5752,Travel & Leisure,Gambling,GI,AIM,YES,NO,NO,NO,27.2829906825,N,
18-Jul-94,3I GROUP                           ,8775,General Financial,Specialty Finance,GB,Main Market,YES,NO,NO,NO,4364.636673254,N,Premium
13-Mar-07,3I INFRASTRUCTURE PLC              ,8985,Equity Investment Instruments,Equity Investment Instruments,JE,Main Market,YES,NO,NO,NO,1348.4679021,N,Premium
14-Jun-11,3LEGS RESOURCES PLC                ,533,Oil & Gas Producers,Exploration & Production,IM,AIM,YES,NO,NO,NO,0.5598237385,N,
18-Feb-14,4D PHARMA PLC                      ,4577,Pharmaceuticals & Biotechnology,Pharmaceuticals,GB,AIM,YES,NO,NO,NO,247.43756525,N,
5-Nov-53,4IMPRINT GROUP PLC                 ,5555,Media,Media Agencies,GB,Main Market,YES,NO,NO,NO,212.53670375,N,Premium
14-Jul-11,600 GROUP                          ,2757,Industrial Engineering,Industrial Machinery,GB,AIM,YES,NO,NO,NO,15.3453626363,N,
10-Jun-14,7DIGITAL GROUP PLC                 ,5379,General Retailers,Specialty Retailers,GB,AIM,YES,NO,NO,NO,17.8738461,N,
4-Oct-05,888 HLDGS                          ,5752,Travel & Leisure,Gambling,GI,Main Market,YES,NO,NO,NO,483.687659295,Y,Premium
26-Jun-14,AA PLC                             ,5377,General Retailers,Specialized Consumer Services,GB,Main Market,YES,NO,NO,NO,1952.850003525,N,Standard
22-May-13,AB DYNAMICS PLC                    ,2757,Industrial Engineering,Industrial Machinery,GB,AIM,YES,NO,NO,NO,26.095242,N,
16-Nov-04,ABBEY PLC                          ,3728,Household Goods,Home Construction,IE,AIM,YES,NO,NO,NO,186.1934125,N,
11-Dec-78,ABBOTT LABORATORIES                ,4537,Health Care Equipment & Services,Medical Supplies,US,Main Market,YES,NO,NO,NO,62039.1612035942,Y,Standard
3-Nov-05,ABCAM                              ,4573,Pharmaceuticals & Biotechnology,Biotechnology,GB,AIM,YES,NO,NO,NO,923.2365656925,N,
20-Dec-05,ABERDEEN ASIAN INCOME FUND         ,8985,Equity Investment Instruments,Equity Investment Instruments,JE,Main Market,YES,NO,NO,NO,376.7533399013,N,Premium
19-Oct-95,ABERDEEN ASIAN SMALLER CO INV TST  ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,YES,NO,320.5567365,N,Premium
28-Mar-91,ABERDEEN ASSET MANAGEMENT PLC      ,8771,General Financial,Asset Managers,GB,Main Market,YES,NO,NO,NO,5562.157960398,N,Premium
1-Oct-98,ABERDEEN JAPAN INVESTMENT TRUST PLC,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,67.67472836,N,Premium
16-Aug-10,ABERDEEN LATIN AMERICAN INCOME FD  ,8985,Equity Investment Instruments,Equity Investment Instruments,JE,Main Market,YES,NO,NO,NO,44.26830495,N,Premium
3-Sep-13,ABERDEEN NEW DAWN INVESTMENT TST   ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,236.1732685313,N,Premium
22-Dec-89,ABERDEEN NEW THAI INVESTMENT TRUST ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,81.9620032,N,Premium
9-Jul-07,ABERDEEN PRIVATE EQUITY FUND LTD   ,8985,Equity Investment Instruments,Equity Investment Instruments,GG,Main Market,YES,NO,NO,NO,93.9892451388,N,Premium
28-Aug-92,ABERDEEN SMALLER COS HIGH INC TRUST,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,40.296,N,Premium
